student_id,prolific_id,activity_title,response,score
12002,5d226ccd072b44001aaec601,scenario2_oe2,"Because it acknowledges his effort and the work that he's put in, while allowing him to find the mistake on his own.",0.5
12118,63d9f41910c61f3eb102079f,scenario2_oe2,The response starts with praise rather than criticism which makes them feel motivated and retain confidence.,1.0
12123,5f456942485340144549178e,scenario2_oe2,The tutor lets the student know he is trying really well to further encourage his learning.,0.5
12028,63f27e4fbd4eca6ee6a44e9a,scenario2_oe2,Lining up the columns isnt quite solving the problem and requires a bit more attention. I think the gentleness of the statement will help ease into a corrective conversation that does not affect Jedidiah motivation to learn.,1.0
12113,5e5080883771350caf2d9fda,scenario2_oe2,"I think it will help a ton, as it gives credit to Jedidiah for his effort and does not directly call out his mistake. It keeps from having Jedidiah feel like he has done something wrong and allows for a more open and comfortable learning opportunity.",0.5
11950,61194d67cf13024bcdf7c246,scenario2_oe1,Good effort on this problem Jedidiah. Can you explain your thought process in how you reached this answer?,1.0
12118,63d9f41910c61f3eb102079f,scenario2_oe1,"Hey Jedediah, I see you're working hard. Let's go through this problem together and show me how you did it step by step.",1.0
12002,5d226ccd072b44001aaec601,scenario2_oe1,"I'm so proud of you for working so hard on these math problems. It looks like there's a slight mistake here, one that's super easy to make. Can I have you explain your process to me so we can figure out where the mistake happened and how to fix it?",1.0
12069,62c71e41af2bc57590b548e8,scenario2_oe2,It contains no negative comment and encourages the student to rethink,1.0
12101,590f901cdcc7b30001eed302,scenario2_oe1,I would ask him to redo the problem with me and explain what he is doing step by step. I would thank him for working hard on trying to solve the problem. ,0.5
12036,62b09e3d57f93ce7675413ed,scenario2_oe2,"I think that it will make Jedidah feel much better that he at least tried, which will motivate him more to correct himself because he knows his work is going toward something.",0.5
12037,651086350ae1352d3dc86754,scenario2_oe2,"Because we are showing it's good to put in effort, and that we are now going over their thought process for them to see their own mistake and figure what was wrong themselves, instead of directly telling them what was wrong.",1.0
12056,5eefcc4bf64ab12846a5e671,scenario2_oe1,I see your working hard can you tell me what were the first steps you took to solve this problem.,1.0
12036,62b09e3d57f93ce7675413ed,scenario2_oe1,"Hey Jedidiah, great effort attempting this problem. Could you explain how you solved it step by step?",1.0
12101,590f901cdcc7b30001eed302,scenario2_oe2,It keeps him involved in the learning process to try and figure out where the error is on his own. ,0.5
12028,63f27e4fbd4eca6ee6a44e9a,scenario2_oe1,"Hello Jedidiah, good job on setting up the problem, can you tell me why you decided to put 47 here in your addition problem?",1.0
12066,644150e6b846265e5d1c1d00,scenario2_oe2,It will encourage them to try in the corrected manner again a small mistake,0.5
12040,6234c1abfc04a4163c09a78f,scenario2_oe1,"You are on the right path to solving the problem, which is great. But there is an error that needs to be fixed and i will help you with this error.",0.5
11950,61194d67cf13024bcdf7c246,scenario2_oe2,"This response will best support Jedidah's motivation because it doesn't flat out say \""you're wrong\"" which can be demoralizing. Additionally, it helps reinforce the learning process.",0.5
12069,62c71e41af2bc57590b548e8,scenario2_oe1,Very good! That's almost it! Let's go over the steps you took to get that answer.,1.0
12071,5bc0ac845a09ea00012e2d30,scenario2_oe1,I'm impressed with your effort here. Could you explain to me how you solved this?,1.0
12040,6234c1abfc04a4163c09a78f,scenario2_oe2,Because he would be willing to listen and learn the approach they used was not harsh. ,0.5
12066,644150e6b846265e5d1c1d00,scenario2_oe1,"Hey Jedidiah, lets try this problem again. We have 47 over too far to the left, lets push those numbers so that the last numbers match up. The 7 should be right under the 3.",0.5
12056,5eefcc4bf64ab12846a5e671,scenario2_oe2,It gives him some praise for his efforts while giving him a chance to describe what he did to solve the problem.,1.0
12071,5bc0ac845a09ea00012e2d30,scenario2_oe2,It gives him positive feedback and encourages him to further think about his method for solving the problem and hopefully catch his own mistake while doing so.,0.5
12037,651086350ae1352d3dc86754,scenario2_oe1,"I would say something like, \""Hi, Jedidiah! Could you walk me through your work?\""",1.0
